80.00 61.00 81.13 73.15 58.75 60.65 46.89
81.00 61.00 81.13 73.15 58.75 60.65 46.89
82.00 61.00 81.13 73.15 58.75 60.65 46.89
83.00 61.00 81.13 73.15 58.75 60.65 46.89
84.00 61.00 81.13 73.15 58.75 60.65 46.89
85.00 63.41 81.27 73.27 59.77 61.54 47.32
86.00 63.41 81.27 73.27 59.77 61.54 47.32
87.00 63.41 81.27 73.27 59.77 61.54 47.32
88.00 63.41 81.27 73.27 59.77 61.54 47.32
89.00 63.41 81.27 73.27 59.77 61.54 47.32
90.00 66.60 81.54 73.35 61.18 64.15 47.50
91.00 66.60 81.54 73.35 61.18 64.15 47.50
92.00 66.60 81.54 73.35 61.18 64.15 47.50
93.00 66.60 81.54 73.35 61.18 64.15 47.50
94.00 66.60 81.54 73.35 61.18 64.15 47.50
95.00 70.23 81.80 73.57 62.07 66.48 47.76
96.00 70.23 81.80 73.57 62.07 66.48 47.76
97.00 70.23 81.80 73.57 62.07 66.48 47.76
98.00 70.23 81.80 73.57 62.07 66.48 47.76
99.00 70.23 81.80 73.57 62.07 66.48 47.76
